Timestamp,Sound Level (dB)
2024-03-18 16:18:49,-65.05783311079723
2024-03-18 16:18:52,-66.74641064966714
2024-03-18 16:18:55,-69.29364219906958
2024-03-18 16:18:58,-65.91803197031881
2024-03-18 16:19:01,-68.68790610609798
2024-03-18 16:19:04,-68.5626701021753
2024-03-18 16:19:07,-69.94740499260104
2024-03-18 16:19:11,-66.40147208338281
2024-03-18 16:19:14,-70.06619167935683
2024-03-18 16:19:17,-72.92816325216101
2024-03-18 16:19:20,-71.02549253220438
2024-03-18 16:19:23,-70.48225724779647
Timestamp,Sound Level (dB)
2024-03-18 16:19:28,-67.64384084064994
2024-03-18 16:19:31,-68.92176313316453
2024-03-18 16:19:34,-67.48804301718079
2024-03-18 16:19:37,-67.6085387542652
2024-03-18 16:19:40,-68.6526557058592
Timestamp,Sound Level (dB)
2024-03-18 16:20:16,-67.24766780135698
2024-03-18 16:20:19,-66.93828338005542
2024-03-18 16:20:22,-69.54530102129661
2024-03-18 16:20:25,-65.0902445416573
2024-03-18 16:20:28,-69.79909496837666
2024-03-18 16:20:32,-71.42075642263384
2024-03-18 16:20:35,-67.16848254812055
2024-03-18 16:20:38,-60.597118409244864
2024-03-18 16:20:41,-64.02699296635697
2024-03-18 16:20:44,-64.11971310608845
2024-03-18 16:20:47,-67.82191328722487
2024-03-18 16:20:50,-65.48267141880144
2024-03-18 16:20:54,-64.98620343522974
2024-03-18 16:20:57,-63.87117032235366
2024-03-18 16:21:00,-62.91475619718529
2024-03-18 16:21:03,-66.376835388027
2024-03-18 16:21:06,-64.03951915946476
2024-03-18 16:21:09,-61.26667031848589
2024-03-18 16:21:12,-60.905292652659575
2024-03-18 16:21:16,-56.24794508591182
2024-03-18 16:21:19,-69.6364563773733
2024-03-18 16:21:22,-70.3583882195267
2024-03-18 16:21:25,-58.152137587571396
2024-03-18 16:21:28,-58.289323574495604
2024-03-18 16:21:31,-56.67604753523638
2024-03-18 16:21:34,-71.7978655991009
2024-03-18 16:21:38,-56.23132072134564
2024-03-18 16:21:41,-42.62175481794745
2024-03-18 16:21:44,-53.8438238257066
2024-03-18 16:21:47,-67.9521485742134
2024-03-18 16:21:50,-60.60693866433584
2024-03-18 16:21:53,-57.26603860681256
2024-03-18 16:21:56,-56.48348116850446
2024-03-18 16:22:00,-64.31222762804688
2024-03-18 16:22:03,-65.3423491119218
2024-03-18 16:22:06,-65.57579502803304
2024-03-18 16:22:09,-55.652304905243696
2024-03-18 16:22:12,-55.65994857797887
2024-03-18 16:22:15,-61.05391822749542
2024-03-18 16:22:19,-62.39017641831512
2024-03-18 16:22:22,-57.18578328816137
2024-03-18 16:22:25,-53.466937511626824
2024-03-18 16:22:28,-54.05718754892785
2024-03-18 16:22:31,-63.64119427503872
2024-03-18 16:22:34,-54.88182536928858
2024-03-18 16:22:37,-54.68778164135596
2024-03-18 16:22:41,-61.26545611248784
2024-03-18 16:22:44,-56.705629436089914
2024-03-18 16:22:47,-55.53738547391359
2024-03-18 16:22:50,-62.95994165131958
2024-03-18 16:22:53,-53.29434791463506
2024-03-18 16:22:56,-49.528941432545324
2024-03-18 16:22:59,-57.661328818853654
2024-03-18 16:23:03,-55.9495115638655
2024-03-18 16:23:06,-62.87089162707691
Timestamp,Sound Level (dB)
2024-03-18 16:23:24,-61.620530294171445
2024-03-18 16:23:27,-62.580444231464796
2024-03-18 16:23:30,-66.09445646458555
2024-03-18 16:23:33,-61.58869821254826
2024-03-18 16:23:36,-65.1585887074209
2024-03-18 16:23:39,-62.68682567663403
2024-03-18 16:23:42,-63.96313623387722
2024-03-18 16:23:46,-59.13149972234585
2024-03-18 16:23:49,-66.46189467116274
2024-03-18 16:23:52,-60.86084654738423
2024-03-18 16:23:55,-61.69613801276547
2024-03-18 16:23:58,-63.029011917162336
2024-03-18 16:24:01,-61.558782102127154
2024-03-18 16:24:05,-64.24999297052207
Timestamp,Sound Level (dB)
2024-03-18 16:24:36,-62.58000969795588
2024-03-18 16:24:39,-67.87892069553628
2024-03-18 16:24:42,-62.88359466979446
2024-03-18 16:24:45,-60.441763678925255
2024-03-18 16:24:48,-63.821787443536344
2024-03-18 16:24:52,-64.84535821144839
2024-03-18 16:24:55,-60.42905479262953
2024-03-18 16:24:58,-65.62598984776835
2024-03-18 16:25:01,-60.506225230983446
2024-03-18 16:25:04,-66.27552204718737
2024-03-18 16:25:07,-62.467624162870656
2024-03-18 16:25:10,-65.86886496466774
2024-03-18 16:25:14,-61.09793247562746
2024-03-18 16:25:17,-63.185927294690174
2024-03-18 16:25:20,-62.742963249342054
2024-03-18 16:25:23,-63.917862041287805
2024-03-18 16:25:26,-61.118061100975524
2024-03-18 16:25:29,-57.02636497059389
2024-03-18 16:25:32,-56.819302406848294
2024-03-18 16:25:36,-63.17921703173336
2024-03-18 16:25:39,-59.83293125477614
2024-03-18 16:25:42,-55.778155024435925
2024-03-18 16:25:45,-50.43432264373613
2024-03-18 16:25:48,-53.59588970008193
2024-03-18 16:25:51,-66.03316966582173
2024-03-18 16:25:55,-63.734850407546865
2024-03-18 16:25:58,-64.51540758766787
2024-03-18 16:26:01,-64.7128023236854
2024-03-18 16:26:04,-65.76202736967491
2024-03-18 16:26:07,-64.52323623820492
2024-03-18 16:26:10,-69.04448393438308
2024-03-18 16:26:13,-67.90136311873957
2024-03-18 16:26:17,-58.82275351541754
2024-03-18 16:26:20,-57.150196568062086
2024-03-18 16:26:23,-59.31488533880702
2024-03-18 16:26:26,-62.336349285148415
2024-03-18 16:26:29,-64.42325917228212
2024-03-18 16:26:32,-55.356344966274946
2024-03-18 16:26:35,-66.10245628947821
2024-03-18 16:26:39,-64.03771671686594
2024-03-18 16:26:42,-65.2574459836004
2024-03-18 16:26:45,-68.59682226400228
2024-03-18 16:26:48,-65.85655848449699
2024-03-18 16:26:51,-67.5612926126368
2024-03-18 16:26:54,-62.95384803533739
2024-03-18 16:26:57,-62.71731046128898
2024-03-18 16:27:01,-62.53214833525553
2024-03-18 16:27:04,-55.177296875881595
2024-03-18 16:27:07,-58.21293005624982
2024-03-18 16:27:10,-58.13138078668425
2024-03-18 16:27:13,-54.18016198909956
2024-03-18 16:27:16,-69.46742311274326
2024-03-18 16:27:19,-58.633451439434026
2024-03-18 16:27:23,-60.6643542719427
2024-03-18 16:27:26,-61.84417342543043
2024-03-18 16:27:29,-55.85799897071655
2024-03-18 16:27:32,-65.12634393194179
2024-03-18 16:27:35,-61.01134232136416
2024-03-18 16:27:38,-60.60671132406216
2024-03-18 16:27:41,-66.73461483310886
2024-03-18 16:27:45,-61.99866663805467
2024-03-18 16:27:48,-66.55469123856436
2024-03-18 16:27:51,-63.28558687386865
2024-03-18 16:27:54,-60.762987369223595
2024-03-18 16:27:57,-53.255698554950555
2024-03-18 16:28:00,-55.90344494573054
2024-03-18 16:28:03,-57.02640585301978
2024-03-18 16:28:07,-62.852065064933164
2024-03-18 16:28:10,-61.065254150461016
2024-03-18 16:28:13,-56.85197657839762
2024-03-18 16:28:16,-67.82857951542628
2024-03-18 16:28:19,-55.394042535322335
2024-03-18 16:28:22,-64.03661741869448
2024-03-18 16:28:25,-64.08579706572158
2024-03-18 16:28:29,-62.97946724115155
2024-03-18 16:28:32,-62.15524977955169
2024-03-18 16:28:35,-65.3702363272991
2024-03-18 16:28:38,-55.4568054925705
2024-03-18 16:28:41,-62.592347038463316
2024-03-18 16:28:44,-64.6199070816214
2024-03-18 16:28:47,-63.027310017637255
2024-03-18 16:28:51,-66.92068322476361
2024-03-18 16:28:54,-67.30196727496728
2024-03-18 16:28:57,-68.96576658420834
2024-03-18 16:29:00,-66.84078771488937
2024-03-18 16:29:03,-64.86844037195664
2024-03-18 16:29:06,-64.32232293851557
2024-03-18 16:29:09,-68.16529281357519
2024-03-18 16:29:13,-65.23389609041507
2024-03-18 16:29:16,-52.21263188562673
2024-03-18 16:29:19,-53.265700688935155
2024-03-18 16:29:22,-59.26263133520011
2024-03-18 16:29:25,-62.47800127734749
2024-03-18 16:29:28,-64.81440350768688
2024-03-18 16:29:31,-63.97445533777724
2024-03-18 16:29:35,-67.74101973626708
2024-03-18 16:29:38,-64.30505154543073
2024-03-18 16:29:41,-67.80553484490358
2024-03-18 16:29:44,-66.58528275321574
2024-03-18 16:29:47,-64.6302122543878
2024-03-18 16:29:50,-60.406845599984
2024-03-18 16:29:53,-69.80738963347983
2024-03-18 16:29:57,-67.71499011438513
2024-03-18 16:30:00,-69.13090503147609
2024-03-18 16:30:03,-66.9475901800987
2024-03-18 16:30:06,-57.37012128369745
2024-03-18 16:30:09,-66.9701231153313
2024-03-18 16:30:12,-66.15024610651383
2024-03-18 16:30:15,-67.77500154441161
2024-03-18 16:30:19,-67.03280425406842
2024-03-18 16:30:22,-67.49974869392368
2024-03-18 16:30:25,-63.19260030872357
2024-03-18 16:30:28,-63.91400415886046
2024-03-18 16:30:31,-63.18036438366872
2024-03-18 16:30:34,-65.72212201700758
2024-03-18 16:30:38,-55.29524643939892
2024-03-18 16:30:41,-59.00302850759141
2024-03-18 16:30:44,-59.29870184722195
2024-03-18 16:30:47,-60.29916789404284
2024-03-18 16:30:50,-58.32852586913735
2024-03-18 16:30:53,-67.04828172244203
2024-03-18 16:30:56,-62.606348419232454
2024-03-18 16:31:00,-65.94326869224497
2024-03-18 16:31:03,-64.54598945198913
2024-03-18 16:31:06,-64.0923632929064
2024-03-18 16:31:09,-59.04837982061173
2024-03-18 16:31:12,-63.21261450077361
2024-03-18 16:31:15,-55.88406116639255
2024-03-18 16:31:18,-59.55526805125335
2024-03-18 16:31:22,-64.11059507513298
2024-03-18 16:31:25,-64.79365550167358
2024-03-18 16:31:28,-65.77314642361785
2024-03-18 16:31:31,-57.801131283665114
2024-03-18 16:31:34,-66.80113932979734
2024-03-18 16:31:37,-58.71973832362719
2024-03-18 16:31:40,-56.75542345525061
2024-03-18 16:31:44,-62.28350557450725
2024-03-18 16:31:47,-63.304653676549165
2024-03-18 16:31:50,-66.50380824820613
2024-03-18 16:31:53,-61.64796096508489
2024-03-18 16:31:56,-64.98694984212824
2024-03-18 16:31:59,-60.145690109060936
2024-03-18 16:32:03,-60.78563334020565
2024-03-18 16:32:06,-56.535513086112985
2024-03-18 16:32:09,-66.81793823117921
2024-03-18 16:32:12,-51.52016063815444
2024-03-18 16:32:15,-54.1835560297457
2024-03-18 16:32:18,-60.89227232420396
2024-03-18 16:32:21,-57.4723383313693
2024-03-18 16:32:25,-63.399376827103296
2024-03-18 16:32:28,-61.99172239718399
2024-03-18 16:32:31,-65.93800046445986
2024-03-18 16:32:34,-63.081504265571375
2024-03-18 16:32:37,-68.09173892319623
2024-03-18 16:32:40,-64.39078690872695
2024-03-18 16:32:43,-59.786305611201215
2024-03-18 16:32:47,-64.28363831306268
2024-03-18 16:32:50,-65.77005252641665
2024-03-18 16:32:53,-68.0760378878994
2024-03-18 16:32:56,-67.88595296374777
2024-03-18 16:32:59,-65.85811472288626
2024-03-18 16:33:02,-67.8345618393962
2024-03-18 16:33:05,-65.95502537614868
2024-03-18 16:33:09,-67.91373408102982
2024-03-18 16:33:12,-68.2933595092555
2024-03-18 16:33:15,-69.29403157135195
2024-03-18 16:33:18,-67.71108887227211
2024-03-18 16:33:21,-59.47944920132965
2024-03-18 16:33:24,-68.17346968918046
2024-03-18 16:33:27,-68.80581484387497
2024-03-18 16:33:31,-69.05584132914055
2024-03-18 16:33:34,-66.63404008017514
2024-03-18 16:33:37,-65.1447573061755
2024-03-18 16:33:40,-66.3775502621666
2024-03-18 16:33:43,-68.20414822469704
2024-03-18 16:33:46,-61.673470738903575
2024-03-18 16:33:50,-64.6422187113512
2024-03-18 16:33:53,-62.37571816873619
2024-03-18 16:33:56,-64.29199021662397
2024-03-18 16:33:59,-66.64964246436108
Timestamp,Sound Level (dB)
2024-03-18 16:43:45,-66.94392986476569
2024-03-18 16:43:48,-68.02918775121083
2024-03-18 16:43:52,-64.01876465834587
2024-03-18 16:43:55,-64.12195304729028
